Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL235V,Property,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Offline Renewal Only
POL334B,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Offline Renewal Only
POL710O,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹25,000",Online Renewal Available
POL441G,Travel,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹30,000",Online Renewal Available
POL523G,Health,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹18,000",Offline Renewal Only
POL668L,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,20 Years,"₹10,000",Offline Renewal Only
POL835T,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Online Renewal Available
POL518T,Life,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹15,000",Online Renewal Available
POL992S,Property,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹30,000",Offline Renewal Only
POL680S,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,5 Years,"₹30,000",Online Renewal Available
POL657A,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹10,000",Offline Renewal Only
POL796E,Health,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹25,000",Online Renewal Available
POL350H,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Online Renewal Available
POL717E,Motor,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹30,000",Offline Renewal Only
POL516W,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹30,000",Online Renewal Available
POL685Z,Travel,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹30,000",Offline Renewal Only
POL763D,Travel,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹8,000",Online Renewal Available
POL836S,Property,Covers accidental damage and theft,Claims under alcohol influence excluded,20 Years,"₹25,000",Online Renewal Available
POL341Q,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Offline Renewal Only
POL478L,Health,"Covers fire, flood, and natural disasters",Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL382V,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹20,000",Online Renewal Available
POL441B,Health,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹12,000",Offline Renewal Only
POL740D,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL294X,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL275P,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹30,000",Offline Renewal Only
POL765K,Life,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Offline Renewal Only
POL220D,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹25,000",Online Renewal Available
POL293V,Accident,Covers accidental damage and theft,Adventure sports injuries excluded,5 Years,"₹30,000",Online Renewal Available
POL551G,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹12,000",Offline Renewal Only
POL569I,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹10,000",Offline Renewal Only
POL842J,Health,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹8,000",Offline Renewal Only
POL201Y,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹30,000",Offline Renewal Only
POL854R,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹10,000",Online Renewal Available
POL216T,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹15,000",Online Renewal Available
POL144K,Property,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹18,000",Offline Renewal Only
POL660Z,Accident,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL157M,Accident,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹18,000",Online Renewal Available
POL476Q,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹15,000",Online Renewal Available
POL216D,Motor,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹8,000",Online Renewal Available
POL388D,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Offline Renewal Only
POL547H,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹30,000",Offline Renewal Only
POL416L,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹8,000",Offline Renewal Only
POL311B,Life,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹12,000",Online Renewal Available
POL146F,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL350H,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL703O,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL723R,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹8,000",Offline Renewal Only
POL852A,Health,Covers accidental damage and theft,Adventure sports injuries excluded,Annual,"₹25,000",Online Renewal Available
POL981B,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹10,000",Online Renewal Available
POL646Y,Health,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹10,000",Online Renewal Available
POL919X,Life,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹12,000",Online Renewal Available
POL885L,Motor,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹12,000",Offline Renewal Only
POL403Q,Accident,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,20 Years,"₹25,000",Offline Renewal Only
POL877Q,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹30,000",Offline Renewal Only
POL165W,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹15,000",Offline Renewal Only
POL197W,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹15,000",Offline Renewal Only
POL754H,Health,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹25,000",Offline Renewal Only
POL215V,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹25,000",Offline Renewal Only
POL172S,Property,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL571Z,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹8,000",Offline Renewal Only
POL307B,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,Annual,"₹12,000",Offline Renewal Only
POL449C,Motor,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹25,000",Offline Renewal Only
POL793Z,Accident,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹30,000",Online Renewal Available
POL819M,Travel,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL618S,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,5 Years,"₹25,000",Online Renewal Available
POL948T,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,Annual,"₹20,000",Offline Renewal Only
POL889I,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL344O,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹20,000",Online Renewal Available
POL654C,Travel,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Online Renewal Available
POL611G,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹18,000",Offline Renewal Only
POL528N,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Offline Renewal Only
POL519K,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Offline Renewal Only
POL965Q,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL195N,Life,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹15,000",Online Renewal Available
POL372S,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL822P,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,5 Years,"₹8,000",Online Renewal Available
POL340I,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,5 Years,"₹18,000",Online Renewal Available
POL266P,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL782H,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹18,000",Online Renewal Available
POL633P,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹15,000",Offline Renewal Only
POL850D,Property,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹15,000",Online Renewal Available
POL550G,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹30,000",Online Renewal Available
POL920I,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹18,000",Online Renewal Available
POL997T,Travel,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹8,000",Offline Renewal Only
POL508R,Health,Covers accidental damage and theft,Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL745D,Health,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹15,000",Online Renewal Available
POL532O,Travel,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹30,000",Offline Renewal Only
POL311S,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
